language1,language2,common_actors
JavaScript,Python,2046
JavaScript,Java,1508
JavaScript,HTML,3506
JavaScript,Ruby,1203
JavaScript,PHP,1192
JavaScript,C++,482
JavaScript,C#,477
JavaScript,CSS,2186
JavaScript,Go,528
JavaScript,TypeScript,1161
JavaScript,C,318
JavaScript,Shell,815
JavaScript,Swift,136
JavaScript,Scala,122
JavaScript,PowerShell,47
JavaScript,Rust,112
JavaScript,Jupyter Notebook,100
JavaScript,Objective-C,201
JavaScript,DM,4
JavaScript,Kotlin,49
JavaScript,R,45
JavaScript,Elixir,87
JavaScript,Perl,57
JavaScript,Lua,41
JavaScript,Makefile,97
JavaScript,Vue,210
JavaScript,Groovy,74
JavaScript,TeX,41
JavaScript,Haskell,48
JavaScript,CoffeeScript,171
JavaScript,Clojure,50
JavaScript,Julia,7
JavaScript,Vim script,56
JavaScript,HCL,41
JavaScript,OCaml,29
JavaScript,XSLT,35
JavaScript,Matlab,10
JavaScript,CMake,21
JavaScript,Dart,16
JavaScript,Nix,11
JavaScript,Emacs Lisp,20
JavaScript,Arduino,29
JavaScript,Puppet,21
JavaScript,Erlang,21
JavaScript,Smarty,23
JavaScript,PLpgSQL,34
JavaScript,Visual Basic,11
JavaScript,F#,10
JavaScript,Batchfile,21
JavaScript,Fortran,2
JavaScript,D,5
JavaScript,Assembly,15
JavaScript,Elm,32
JavaScript,Crystal,10
JavaScript,SaltStack,6
JavaScript,Vala,4
JavaScript,ColdFusion,4
JavaScript,Haxe,9
JavaScript,PLSQL,10
JavaScript,Modelica,0
JavaScript,Tcl,7
JavaScript,SQF,4
JavaScript,Gherkin,13
JavaScript,Pascal,8
JavaScript,Roff,5
JavaScript,QML,10
JavaScript,Processing,4
JavaScript,ASP,4
JavaScript,Common Lisp,0
JavaScript,MAXScript,0
JavaScript,Perl 6,7
JavaScript,BitBake,1
JavaScript,PostScript,7
JavaScript,Verilog,5
JavaScript,FreeMarker,4
JavaScript,PureScript,7
JavaScript,Apex,6
JavaScript,Nim,2
JavaScript,Smalltalk,1
JavaScript,Mathematica,5
JavaScript,ApacheConf,20
JavaScript,Protocol Buffer,15
JavaScript,SQLPL,8
JavaScript,Racket,3
JavaScript,Standard ML,9
JavaScript,Liquid,3
JavaScript,Chapel,0
JavaScript,Logos,2
JavaScript,Scheme,5
JavaScript,Prolog,4
JavaScript,VHDL,2
JavaScript,Web Ontology Language,6
JavaScript,Yacc,1
JavaScript,SourcePawn,3
JavaScript,GAP,0
JavaScript,ActionScript,10
JavaScript,Coq,5
JavaScript,RobotFramework,1
JavaScript,Eagle,3
JavaScript,Nginx,12
JavaScript,API Blueprint,8
JavaScript,WebAssembly,4
JavaScript,LLVM,1
JavaScript,GDScript,1
JavaScript,VimL,10
JavaScript,SMT,0
JavaScript,M4,3
JavaScript,ABAP,1
JavaScript,Inform 7,0
JavaScript,Cuda,1
JavaScript,GLSL,3
JavaScript,Ren'Py,1
JavaScript,DIGITAL Command Language,1
JavaScript,Shen,1
JavaScript,1C Enterprise,2
JavaScript,Objective-C++,1
JavaScript,NSIS,0
JavaScript,XC,0
JavaScript,RAML,7
JavaScript,COBOL,0
JavaScript,nesC,0
JavaScript,Gnuplot,1
JavaScript,AutoHotkey,3
JavaScript,Scilab,0
JavaScript,SystemVerilog,0
JavaScript,LookML,1
JavaScript,Ada,1
JavaScript,GCC Machine Description,2
JavaScript,Brainfuck,4
JavaScript,XQuery,0
JavaScript,Gosu,1
JavaScript,OpenEdge ABL,2
JavaScript,Xtend,2
JavaScript,HLSL,1
JavaScript,EmberScript,2
JavaScript,P4,0
JavaScript,OpenSCAD,0
JavaScript,Pony,1
JavaScript,Game Maker Language,3
JavaScript,AngelScript,0
JavaScript,LiveScript,4
JavaScript,Hack,1
JavaScript,Stata,0
JavaScript,UnrealScript,0
JavaScript,FORTRAN,1
JavaScript,SAS,0
JavaScript,NCL,0
JavaScript,Eiffel,0
JavaScript,LabVIEW,0
JavaScript,Objective-J,1
JavaScript,CartoCSS,3
JavaScript,ShaderLab,0
JavaScript,POV-Ray SDL,1
JavaScript,APL,1
JavaScript,AppleScript,3
JavaScript,NetLogo,0
JavaScript,QMake,1
JavaScript,Perl6,3
JavaScript,LilyPond,0
JavaScript,ANTLR,0
JavaScript,Thrift,4
JavaScript,MoonScript,2
JavaScript,AMPL,1
JavaScript,GAMS,0
JavaScript,Forth,0
JavaScript,Mako,1
JavaScript,Inno Setup,2
JavaScript,VCL,1
JavaScript,Harbour,1
JavaScript,Rascal,1
JavaScript,AGS Script,0
JavaScript,LSL,0
JavaScript,SuperCollider,0
JavaScript,M,2
JavaScript,Brightscript,0
JavaScript,Idris,0
JavaScript,Lex,0
JavaScript,Stan,0
JavaScript,HyPhy,1
JavaScript,Component Pascal,1
JavaScript,Lean,0
JavaScript,Mask,0
JavaScript,xBase,0
JavaScript,Ragel,0
JavaScript,Squirrel,1
JavaScript,AutoIt,0
JavaScript,KiCad,1
JavaScript,Awk,0
JavaScript,E,0
JavaScript,IDL,0
JavaScript,Terra,0
JavaScript,Lasso,0
JavaScript,Ring,0
JavaScript,NewLisp,0
JavaScript,Rebol,0
