80268.0,4863.0,3660.0,9322.0,3017.0,3175.0,5720.0,1193.0,1225.0,2090.0
4863.0,46859.0,1939.0,3264.0,873.0,1184.0,1704.0,1946.0,481.0,2552.0
3660.0,1939.0,44057.0,2300.0,677.0,722.0,1090.0,826.0,573.0,1320.0
9322.0,3264.0,2300.0,41524.0,1672.0,2095.0,4479.0,738.0,555.0,1319.0
3017.0,873.0,677.0,1672.0,23118.0,446.0,1250.0,250.0,264.0,639.0
3175.0,1184.0,722.0,2095.0,446.0,20670.0,1255.0,257.0,178.0,1003.0
5720.0,1704.0,1090.0,4479.0,1250.0,1255.0,20609.0,429.0,318.0,787.0
1193.0,1946.0,826.0,738.0,250.0,257.0,429.0,19056.0,344.0,673.0
1225.0,481.0,573.0,555.0,264.0,178.0,318.0,344.0,15088.0,163.0
2090.0,2552.0,1320.0,1319.0,639.0,1003.0,787.0,673.0,163.0,13555.0
