language1,language2,common_actors
JavaScript,Python,4863
JavaScript,Java,3660
JavaScript,HTML,9322
JavaScript,Ruby,3175
JavaScript,PHP,3017
JavaScript,C++,1193
JavaScript,Go,1322
JavaScript,CSS,5720
JavaScript,C#,1225
JavaScript,TypeScript,2739
JavaScript,C,825
JavaScript,Shell,2090
JavaScript,Scala,295
JavaScript,Swift,390
JavaScript,PowerShell,145
JavaScript,Rust,252
JavaScript,Objective-C,629
JavaScript,Jupyter Notebook,286
JavaScript,DM,9
JavaScript,R,106
JavaScript,Lua,117
JavaScript,Kotlin,126
JavaScript,Elixir,222
JavaScript,Perl,145
Python,Java,1939
Python,HTML,3264
Python,Ruby,1184
Python,PHP,873
Python,C++,1946
Python,Go,1154
Python,CSS,1704
Python,C#,481
Python,TypeScript,467
Python,C,1437
Python,Shell,2552
Python,Scala,222
Python,Swift,169
Python,PowerShell,85
Python,Rust,205
Python,Objective-C,131
Python,Jupyter Notebook,1078
Python,DM,8
Python,R,139
Python,Lua,112
Python,Kotlin,64
Python,Elixir,62
Python,Perl,197
Java,HTML,2300
Java,Ruby,722
Java,PHP,677
Java,C++,826
Java,Go,554
Java,CSS,1090
Java,C#,573
Java,TypeScript,631
Java,C,633
Java,Shell,1320
Java,Scala,357
Java,Swift,268
Java,PowerShell,32
Java,Rust,58
Java,Objective-C,410
Java,Jupyter Notebook,120
Java,DM,4
Java,R,57
Java,Lua,36
Java,Kotlin,430
Java,Elixir,20
Java,Perl,88
HTML,Ruby,2095
HTML,PHP,1672
HTML,C++,738
HTML,Go,694
HTML,CSS,4479
HTML,C#,555
HTML,TypeScript,945
HTML,C,567
HTML,Shell,1319
HTML,Scala,210
HTML,Swift,184
HTML,PowerShell,57
HTML,Rust,139
HTML,Objective-C,157
HTML,Jupyter Notebook,314
HTML,DM,3
HTML,R,265
HTML,Lua,58
HTML,Kotlin,73
HTML,Elixir,94
HTML,Perl,113
Ruby,PHP,446
Ruby,C++,257
Ruby,Go,623
Ruby,CSS,1255
Ruby,C#,178
Ruby,TypeScript,234
Ruby,C,299
Ruby,Shell,1003
Ruby,Scala,87
Ruby,Swift,167
Ruby,PowerShell,41
Ruby,Rust,101
Ruby,Objective-C,165
Ruby,Jupyter Notebook,41
Ruby,DM,0
Ruby,R,34
Ruby,Lua,25
Ruby,Kotlin,38
Ruby,Elixir,178
Ruby,Perl,83
PHP,C++,250
PHP,Go,281
PHP,CSS,1250
PHP,C#,264
PHP,TypeScript,265
PHP,C,227
PHP,Shell,639
PHP,Scala,24
PHP,Swift,71
PHP,PowerShell,26
