language1,language2,common_actors
JavaScript,Python,1497
JavaScript,Java,1086
JavaScript,HTML,2766
JavaScript,Ruby,948
JavaScript,PHP,910
JavaScript,C++,330
JavaScript,Go,424
JavaScript,CSS,1582
JavaScript,C#,353
JavaScript,TypeScript,877
JavaScript,C,236
JavaScript,Shell,613
JavaScript,Scala,112
JavaScript,Swift,111
JavaScript,PowerShell,43
JavaScript,Rust,67
JavaScript,Objective-C,206
JavaScript,Jupyter Notebook,74
JavaScript,DM,3
JavaScript,R,39
JavaScript,Lua,41
JavaScript,Kotlin,33
JavaScript,Perl,40
JavaScript,Vue,149
Python,Java,526
Python,HTML,980
Python,Ruby,354
Python,PHP,246
Python,C++,613
Python,Go,365
Python,CSS,402
Python,C#,124
Python,TypeScript,121
Python,C,446
Python,Shell,879
Python,Scala,65
Python,Swift,40
Python,PowerShell,18
Python,Rust,64
Python,Objective-C,38
Python,Jupyter Notebook,332
Python,DM,5
Python,R,42
Python,Lua,32
Python,Kotlin,16
Python,Perl,63
Python,Vue,14
Java,HTML,598
Java,Ruby,200
Java,PHP,176
Java,C++,209
Java,Go,161
Java,CSS,305
Java,C#,159
Java,TypeScript,191
Java,C,178
Java,Shell,414
Java,Scala,111
Java,Swift,82
Java,PowerShell,5
Java,Rust,18
Java,Objective-C,146
Java,Jupyter Notebook,28
Java,DM,1
Java,R,15
Java,Lua,9
Java,Kotlin,125
Java,Perl,28
Java,Vue,9
HTML,Ruby,587
HTML,PHP,501
HTML,C++,206
HTML,Go,217
HTML,CSS,1262
HTML,C#,155
HTML,TypeScript,274
HTML,C,157
HTML,Shell,388
HTML,Scala,71
HTML,Swift,37
HTML,PowerShell,7
HTML,Rust,50
HTML,Objective-C,48
HTML,Jupyter Notebook,84
HTML,DM,1
HTML,R,88
HTML,Lua,16
HTML,Kotlin,16
HTML,Perl,26
HTML,Vue,29
Ruby,PHP,143
Ruby,C++,69
Ruby,Go,167
Ruby,CSS,322
Ruby,C#,43
Ruby,TypeScript,70
Ruby,C,92
Ruby,Shell,331
Ruby,Scala,26
Ruby,Swift,54
Ruby,PowerShell,12
Ruby,Rust,24
Ruby,Objective-C,60
Ruby,Jupyter Notebook,10
Ruby,DM,0
Ruby,R,11
Ruby,Lua,11
Ruby,Kotlin,5
Ruby,Perl,21
Ruby,Vue,8
PHP,C++,67
PHP,Go,72
PHP,CSS,377
PHP,C#,77
PHP,TypeScript,70
PHP,C,64
PHP,Shell,196
PHP,Scala,7
PHP,Swift,18
PHP,PowerShell,8
PHP,Rust,9
PHP,Objective-C,14
PHP,Jupyter Notebook,3
PHP,DM,0
PHP,R,4
PHP,Lua,6
PHP,Kotlin,4
PHP,Perl,23
PHP,Vue,24
C++,Go,88
C++,CSS,101
C++,C#,94
C++,TypeScript,38
C++,C,516
C++,Shell,233
C++,Scala,16
C++,Swift,29
C++,PowerShell,10
C++,Rust,30
C++,Objective-C,27
C++,Jupyter Notebook,49
C++,DM,1
C++,R,28
C++,Lua,35
C++,Kotlin,8
C++,Perl,21
C++,Vue,6
Go,CSS,111
Go,C#,31
Go,TypeScript,44
Go,C,119
Go,Shell,367
Go,Scala,21
Go,Swift,15
Go,PowerShell,7
Go,Rust,44
Go,Objective-C,19
Go,Jupyter Notebook,7
Go,DM,0
Go,R,0
Go,Lua,10
Go,Kotlin,7
Go,Perl,20
Go,Vue,7
CSS,C#,90
CSS,TypeScript,202
CSS,C,68
CSS,Shell,232
CSS,Scala,36
CSS,Swift,13
CSS,PowerShell,7
CSS,Rust,29
CSS,Objective-C,23
CSS,Jupyter Notebook,23
CSS,DM,1
CSS,R,21
CSS,Lua,11
CSS,Kotlin,9
CSS,Perl,13
CSS,Vue,31
C#,TypeScript,130
C#,C,54
C#,Shell,52
C#,Scala,9
C#,Swift,14
C#,PowerShell,72
C#,Rust,12
C#,Objective-C,18
C#,Jupyter Notebook,3
C#,DM,3
C#,R,6
C#,Lua,8
C#,Kotlin,2
C#,Perl,4
C#,Vue,6
TypeScript,C,25
TypeScript,Shell,59
TypeScript,Scala,19
TypeScript,Swift,17
TypeScript,PowerShell,13
TypeScript,Rust,13
TypeScript,Objective-C,22
TypeScript,Jupyter Notebook,9
TypeScript,DM,0
TypeScript,R,2
TypeScript,Lua,1
TypeScript,Kotlin,7
TypeScript,Perl,2
TypeScript,Vue,21
C,Shell,255
C,Scala,15
C,Swift,19
C,PowerShell,9
C,Rust,40
C,Objective-C,33
C,Jupyter Notebook,23
C,DM,0
C,R,9
C,Lua,22
C,Kotlin,7
C,Perl,35
C,Vue,4
Shell,Scala,57
Shell,Swift,36
Shell,PowerShell,18
Shell,Rust,41
Shell,Objective-C,18
Shell,Jupyter Notebook,50
Shell,DM,0
Shell,R,18
Shell,Lua,21
Shell,Kotlin,12
