language1,language2,common_actors
JavaScript,Python,2046
JavaScript,Java,1508
JavaScript,HTML,3506
JavaScript,Ruby,1203
JavaScript,PHP,1192
JavaScript,C++,482
JavaScript,C#,477
JavaScript,CSS,2186
JavaScript,Go,528
JavaScript,TypeScript,1161
JavaScript,C,318
JavaScript,Shell,815
JavaScript,Swift,136
JavaScript,Scala,122
JavaScript,PowerShell,47
JavaScript,Rust,112
JavaScript,Jupyter Notebook,100
JavaScript,Objective-C,201
JavaScript,DM,4
JavaScript,Kotlin,49
JavaScript,R,45
JavaScript,Elixir,87
JavaScript,Perl,57
JavaScript,Lua,41
Python,Java,792
Python,HTML,1300
Python,Ruby,464
Python,PHP,359
Python,C++,829
Python,C#,182
Python,CSS,676
Python,Go,437
Python,TypeScript,195
Python,C,595
Python,Shell,1047
Python,Swift,69
Python,Scala,82
Python,PowerShell,39
Python,Rust,87
Python,Jupyter Notebook,443
Python,Objective-C,45
Python,DM,3
Python,Kotlin,25
Python,R,47
Python,Elixir,23
Python,Perl,79
Python,Lua,44
Java,HTML,954
Java,Ruby,284
Java,PHP,270
Java,C++,362
Java,C#,246
Java,CSS,457
Java,Go,221
Java,TypeScript,278
Java,C,259
Java,Shell,460
Java,Swift,101
Java,Scala,141
Java,PowerShell,11
Java,Rust,21
Java,Jupyter Notebook,48
Java,Objective-C,156
Java,DM,2
Java,Kotlin,179
Java,R,23
Java,Elixir,4
Java,Perl,36
Java,Lua,15
HTML,Ruby,712
HTML,PHP,630
HTML,C++,308
HTML,C#,197
HTML,CSS,1690
HTML,Go,277
HTML,TypeScript,351
HTML,C,206
HTML,Shell,477
HTML,Swift,67
HTML,Scala,77
HTML,PowerShell,24
HTML,Rust,57
HTML,Jupyter Notebook,110
HTML,Objective-C,48
HTML,DM,1
HTML,Kotlin,24
HTML,R,100
HTML,Elixir,33
HTML,Perl,45
HTML,Lua,15
Ruby,PHP,142
Ruby,C++,97
Ruby,C#,66
Ruby,CSS,458
Ruby,Go,239
Ruby,TypeScript,88
Ruby,C,110
Ruby,Shell,402
Ruby,Swift,63
Ruby,Scala,36
Ruby,PowerShell,16
Ruby,Rust,49
Ruby,Jupyter Notebook,13
Ruby,Objective-C,56
Ruby,DM,0
Ruby,Kotlin,21
Ruby,R,11
Ruby,Elixir,58
Ruby,Perl,35
Ruby,Lua,6
PHP,C++,104
PHP,C#,96
PHP,CSS,495
PHP,Go,109
PHP,TypeScript,93
PHP,C,87
PHP,Shell,248
PHP,Swift,33
PHP,Scala,8
PHP,PowerShell,13
PHP,Rust,9
PHP,Jupyter Notebook,10
PHP,Objective-C,29
PHP,DM,0
PHP,Kotlin,5
PHP,R,5
PHP,Elixir,13
PHP,Perl,33
PHP,Lua,10
C++,C#,124
C++,CSS,173
C++,Go,97
C++,TypeScript,64
C++,C,594
C++,Shell,275
C++,Swift,34
C++,Scala,20
C++,PowerShell,17
C++,Rust,41
C++,Jupyter Notebook,65
C++,Objective-C,28
C++,DM,2
C++,Kotlin,13
C++,R,30
C++,Elixir,4
C++,Perl,25
C++,Lua,53
C#,CSS,111
C#,Go,49
C#,TypeScript,175
C#,C,62
C#,Shell,46
C#,Swift,19
C#,Scala,9
C#,PowerShell,84
C#,Rust,12
C#,Jupyter Notebook,12
C#,Objective-C,33
C#,DM,3
C#,Kotlin,12
C#,R,4
C#,Elixir,6
C#,Perl,14
C#,Lua,9
CSS,Go,147
CSS,TypeScript,257
CSS,C,103
CSS,Shell,278
CSS,Swift,44
CSS,Scala,50
CSS,PowerShell,13
CSS,Rust,39
CSS,Jupyter Notebook,46
CSS,Objective-C,35
CSS,DM,2
CSS,Kotlin,22
CSS,R,19
CSS,Elixir,34
CSS,Perl,18
CSS,Lua,13
Go,TypeScript,75
Go,C,127
Go,Shell,434
Go,Swift,16
Go,Scala,29
Go,PowerShell,9
Go,Rust,39
Go,Jupyter Notebook,9
Go,Objective-C,18
Go,DM,1
Go,Kotlin,13
Go,R,0
Go,Elixir,13
Go,Perl,19
Go,Lua,16
TypeScript,C,25
TypeScript,Shell,118
TypeScript,Swift,21
TypeScript,Scala,23
TypeScript,PowerShell,18
TypeScript,Rust,22
TypeScript,Jupyter Notebook,14
TypeScript,Objective-C,34
TypeScript,DM,0
TypeScript,Kotlin,15
TypeScript,R,3
TypeScript,Elixir,16
TypeScript,Perl,1
TypeScript,Lua,3
C,Shell,291
C,Swift,23
C,Scala,17
C,PowerShell,10
C,Rust,47
C,Jupyter Notebook,39
C,Objective-C,23
C,DM,1
C,Kotlin,9
C,R,11
C,Elixir,8
C,Perl,59
C,Lua,35
Shell,Swift,24
Shell,Scala,67
Shell,PowerShell,29
Shell,Rust,45
Shell,Jupyter Notebook,62
Shell,Objective-C,23
Shell,DM,2
Shell,Kotlin,29
Shell,R,30
Shell,Elixir,18
Shell,Perl,62
Shell,Lua,28
Swift,Scala,5
Swift,PowerShell,1
Swift,Rust,7
Swift,Jupyter Notebook,5
Swift,Objective-C,167
Swift,DM,0
Swift,Kotlin,13
Swift,R,1
Swift,Elixir,7
Swift,Perl,2
Swift,Lua,0
Scala,PowerShell,3
Scala,Rust,11
