language1,language2,common_actors
JavaScript,Python,4863
JavaScript,Java,3660
JavaScript,HTML,9322
JavaScript,Ruby,3175
JavaScript,PHP,3017
JavaScript,C++,1193
JavaScript,Go,1322
JavaScript,CSS,5720
JavaScript,C#,1225
JavaScript,TypeScript,2739
JavaScript,C,825
JavaScript,Shell,2090
JavaScript,Scala,295
JavaScript,Swift,390
JavaScript,PowerShell,145
JavaScript,Rust,252
JavaScript,Objective-C,629
JavaScript,Jupyter Notebook,286
JavaScript,DM,9
JavaScript,R,106
JavaScript,Lua,117
JavaScript,Kotlin,126
JavaScript,Elixir,222
JavaScript,Perl,145
JavaScript,Vue,504
JavaScript,Makefile,280
JavaScript,Groovy,161
JavaScript,Julia,18
JavaScript,Haskell,120
JavaScript,CoffeeScript,457
JavaScript,TeX,126
JavaScript,Clojure,116
JavaScript,HCL,99
JavaScript,OCaml,64
JavaScript,Vim script,146
JavaScript,XSLT,88
JavaScript,Nix,20
JavaScript,Matlab,26
JavaScript,CMake,52
JavaScript,Dart,30
JavaScript,Erlang,43
JavaScript,Puppet,57
JavaScript,Emacs Lisp,61
JavaScript,Smarty,58
JavaScript,PLpgSQL,117
JavaScript,Visual Basic,29
JavaScript,Fortran,9
JavaScript,Arduino,62
JavaScript,F#,28
JavaScript,D,13
JavaScript,Batchfile,46
JavaScript,Assembly,28
JavaScript,Elm,87
JavaScript,Crystal,24
JavaScript,SaltStack,19
JavaScript,Roff,23
JavaScript,Vala,12
JavaScript,Gherkin,49
JavaScript,PLSQL,25
JavaScript,Protocol Buffer,59
JavaScript,Apex,17
JavaScript,ColdFusion,10
JavaScript,Haxe,15
JavaScript,SQF,8
JavaScript,Pascal,14
JavaScript,QML,21
JavaScript,Common Lisp,2
JavaScript,Chapel,1
JavaScript,Tcl,10
JavaScript,PureScript,21
JavaScript,ASP,18
JavaScript,BitBake,6
JavaScript,Perl 6,10
JavaScript,PostScript,16
JavaScript,FreeMarker,19
JavaScript,Modelica,2
JavaScript,Web Ontology Language,14
JavaScript,ApacheConf,49
JavaScript,Processing,9
JavaScript,Smalltalk,2
JavaScript,Nim,6
JavaScript,Liquid,19
JavaScript,Mathematica,6
JavaScript,Eagle,15
JavaScript,Racket,8
JavaScript,ActionScript,16
JavaScript,Logos,5
JavaScript,Standard ML,20
JavaScript,Nginx,52
JavaScript,GAP,2
JavaScript,Scheme,11
JavaScript,API Blueprint,25
JavaScript,SQLPL,20
JavaScript,WebAssembly,6
JavaScript,MAXScript,0
JavaScript,Verilog,9
JavaScript,SourcePawn,7
JavaScript,VHDL,5
