language1,language2,common_actors
JavaScript,Python,1497
JavaScript,Java,1086
JavaScript,HTML,2766
JavaScript,Ruby,948
JavaScript,PHP,910
JavaScript,C++,330
JavaScript,Go,424
JavaScript,CSS,1582
JavaScript,C#,353
JavaScript,TypeScript,877
JavaScript,C,236
JavaScript,Shell,613
JavaScript,Scala,112
JavaScript,Swift,111
JavaScript,PowerShell,43
JavaScript,Rust,67
JavaScript,Objective-C,206
JavaScript,Jupyter Notebook,74
JavaScript,DM,3
JavaScript,R,39
JavaScript,Lua,41
JavaScript,Kotlin,33
JavaScript,Perl,40
JavaScript,Vue,149
JavaScript,Groovy,63
JavaScript,Makefile,69
JavaScript,Elixir,74
JavaScript,Julia,3
JavaScript,CoffeeScript,167
JavaScript,Haskell,23
JavaScript,TeX,32
JavaScript,Clojure,33
JavaScript,HCL,28
JavaScript,Nix,5
JavaScript,OCaml,24
JavaScript,XSLT,24
JavaScript,Vim script,35
JavaScript,CMake,17
JavaScript,Matlab,4
JavaScript,Smarty,16
JavaScript,Dart,12
JavaScript,Puppet,18
JavaScript,Erlang,14
JavaScript,Fortran,3
JavaScript,PLpgSQL,33
JavaScript,Emacs Lisp,17
JavaScript,Visual Basic,5
JavaScript,Arduino,5
JavaScript,F#,8
JavaScript,Assembly,7
JavaScript,D,2
JavaScript,Batchfile,16
JavaScript,Crystal,8
JavaScript,Elm,17
JavaScript,Chapel,1
JavaScript,Roff,8
JavaScript,Vala,7
JavaScript,Apex,7
JavaScript,Gherkin,10
JavaScript,PLSQL,7
JavaScript,SaltStack,5
JavaScript,Perl 6,2
JavaScript,QML,6
JavaScript,Protocol Buffer,25
JavaScript,SQF,4
JavaScript,Haxe,6
JavaScript,Web Ontology Language,4
JavaScript,Liquid,2
JavaScript,ColdFusion,3
JavaScript,ApacheConf,15
JavaScript,Tcl,2
JavaScript,Common Lisp,0
JavaScript,BitBake,2
JavaScript,FreeMarker,6
JavaScript,Modelica,1
JavaScript,PureScript,2
JavaScript,Nim,2
JavaScript,Smalltalk,1
JavaScript,Eagle,8
JavaScript,Pascal,1
JavaScript,PostScript,5
JavaScript,Racket,1
JavaScript,Standard ML,10
JavaScript,WebAssembly,1
JavaScript,Nginx,16
JavaScript,Processing,4
JavaScript,GAP,0
JavaScript,ASP,6
JavaScript,SQLPL,7
JavaScript,API Blueprint,5
JavaScript,Logos,2
JavaScript,Scheme,1
JavaScript,ActionScript,3
JavaScript,Mathematica,0
JavaScript,Pony,0
JavaScript,MAXScript,0
JavaScript,LabVIEW,1
JavaScript,RobotFramework,0
JavaScript,SourcePawn,1
JavaScript,Verilog,0
JavaScript,NSIS,1
JavaScript,VHDL,1
JavaScript,SMT,0
JavaScript,DIGITAL Command Language,0
JavaScript,Coq,0
JavaScript,Cuda,0
JavaScript,Yacc,3
JavaScript,Xtend,2
JavaScript,VimL,3
JavaScript,XC,0
JavaScript,RAML,2
JavaScript,LiveScript,6
JavaScript,Prolog,0
JavaScript,CartoCSS,2
JavaScript,AutoHotkey,0
JavaScript,P4,0
JavaScript,Inform 7,0
JavaScript,GLSL,0
JavaScript,M4,0
JavaScript,XQuery,1
JavaScript,Objective-C++,2
JavaScript,Gosu,0
JavaScript,OpenEdge ABL,1
JavaScript,1C Enterprise,2
JavaScript,Objective-J,1
JavaScript,LookML,0
JavaScript,GDScript,0
JavaScript,Red,0
JavaScript,Gnuplot,0
JavaScript,LLVM,1
JavaScript,nesC,0
JavaScript,Ring,0
JavaScript,UnrealScript,0
JavaScript,Stata,0
JavaScript,ABAP,0
JavaScript,Scilab,1
JavaScript,SystemVerilog,1
JavaScript,Hack,1
JavaScript,Thrift,7
JavaScript,ANTLR,1
JavaScript,Game Maker Language,2
JavaScript,ShaderLab,0
JavaScript,Perl6,1
JavaScript,AGS Script,0
JavaScript,OpenSCAD,0
JavaScript,IDL,0
JavaScript,Eiffel,0
JavaScript,Forth,0
JavaScript,Ada,0
JavaScript,Pure Data,0
JavaScript,Brightscript,0
JavaScript,AutoIt,0
JavaScript,Ren'Py,0
JavaScript,Augeas,0
JavaScript,HyPhy,2
JavaScript,SuperCollider,0
JavaScript,M,1
JavaScript,GCC Machine Description,0
JavaScript,Rebol,1
JavaScript,EmberScript,3
JavaScript,LSL,0
JavaScript,SAS,0
JavaScript,POV-Ray SDL,0
JavaScript,NCL,0
JavaScript,FORTRAN,0
JavaScript,KiCad,0
JavaScript,IGOR Pro,0
JavaScript,AMPL,1
JavaScript,Stan,0
JavaScript,Awk,0
JavaScript,Max,0
JavaScript,Squirrel,0
JavaScript,APL,0
JavaScript,Ceylon,0
JavaScript,Ragel,0
JavaScript,Brainfuck,0
JavaScript,SRecode Template,0
JavaScript,CLIPS,0
JavaScript,Smali,1
JavaScript,Propeller Spin,0
