language1,language2,common_actors
JavaScript,Python,1504
JavaScript,Java,1091
JavaScript,Ruby,1024
JavaScript,HTML,2994
JavaScript,PHP,905
JavaScript,C++,330
JavaScript,Go,389
JavaScript,CSS,1772
JavaScript,C#,347
JavaScript,TypeScript,860
JavaScript,C,222
JavaScript,Shell,614
JavaScript,Scala,117
JavaScript,Swift,118
JavaScript,PowerShell,49
JavaScript,Rust,70
JavaScript,Objective-C,211
JavaScript,Jupyter Notebook,83
JavaScript,Lua,33
JavaScript,DM,3
JavaScript,R,27
JavaScript,Kotlin,26
JavaScript,Vue,158
JavaScript,Julia,4
Python,Java,533
Python,Ruby,358
Python,HTML,914
Python,PHP,238
Python,C++,606
Python,Go,386
Python,CSS,465
Python,C#,106
Python,TypeScript,143
Python,C,399
Python,Shell,897
Python,Scala,72
Python,Swift,36
Python,PowerShell,27
Python,Rust,66
Python,Objective-C,39
Python,Jupyter Notebook,281
Python,Lua,31
Python,DM,1
Python,R,40
Python,Kotlin,16
Python,Vue,16
Python,Julia,24
Java,Ruby,205
Java,HTML,558
Java,PHP,183
Java,C++,189
Java,Go,168
Java,CSS,287
Java,C#,145
Java,TypeScript,194
Java,C,162
Java,Shell,452
Java,Scala,129
Java,Swift,81
Java,PowerShell,3
Java,Rust,12
Java,Objective-C,160
Java,Jupyter Notebook,25
Java,Lua,4
Java,DM,1
Java,R,16
Java,Kotlin,116
Java,Vue,11
Java,Julia,0
Ruby,HTML,680
Ruby,PHP,140
Ruby,C++,68
Ruby,Go,212
Ruby,CSS,393
Ruby,C#,42
Ruby,TypeScript,70
Ruby,C,90
Ruby,Shell,312
Ruby,Scala,26
Ruby,Swift,41
Ruby,PowerShell,13
Ruby,Rust,30
Ruby,Objective-C,39
Ruby,Jupyter Notebook,8
Ruby,Lua,8
Ruby,DM,0
Ruby,R,7
Ruby,Kotlin,7
Ruby,Vue,6
Ruby,Julia,1
HTML,PHP,464
HTML,C++,181
HTML,Go,225
HTML,CSS,1234
HTML,C#,137
HTML,TypeScript,274
HTML,C,130
HTML,Shell,400
HTML,Scala,93
HTML,Swift,40
HTML,PowerShell,14
HTML,Rust,49
HTML,Objective-C,38
HTML,Jupyter Notebook,81
HTML,Lua,16
HTML,DM,1
HTML,R,77
HTML,Kotlin,17
HTML,Vue,17
HTML,Julia,9
PHP,C++,56
PHP,Go,78
PHP,CSS,336
PHP,C#,74
PHP,TypeScript,82
PHP,C,83
PHP,Shell,178
PHP,Scala,5
PHP,Swift,15
PHP,PowerShell,8
PHP,Rust,6
PHP,Objective-C,14
PHP,Jupyter Notebook,4
PHP,Lua,10
PHP,DM,0
PHP,R,2
PHP,Kotlin,4
PHP,Vue,31
PHP,Julia,0
C++,Go,77
C++,CSS,104
C++,C#,105
C++,TypeScript,53
C++,C,445
C++,Shell,246
C++,Scala,18
C++,Swift,24
C++,PowerShell,24
C++,Rust,31
C++,Objective-C,37
C++,Jupyter Notebook,49
C++,Lua,47
C++,DM,2
C++,R,23
C++,Kotlin,6
C++,Vue,2
C++,Julia,6
Go,CSS,128
Go,C#,43
Go,TypeScript,53
Go,C,107
Go,Shell,401
Go,Scala,27
Go,Swift,12
Go,PowerShell,5
Go,Rust,42
Go,Objective-C,16
Go,Jupyter Notebook,7
Go,Lua,5
Go,DM,0
Go,R,1
Go,Kotlin,6
Go,Vue,10
Go,Julia,0
CSS,C#,73
CSS,TypeScript,174
CSS,C,90
CSS,Shell,244
CSS,Scala,52
CSS,Swift,33
CSS,PowerShell,9
CSS,Rust,25
CSS,Objective-C,25
CSS,Jupyter Notebook,29
CSS,Lua,13
CSS,DM,1
CSS,R,19
CSS,Kotlin,8
CSS,Vue,35
CSS,Julia,4
C#,TypeScript,124
C#,C,57
C#,Shell,48
C#,Scala,6
C#,Swift,17
C#,PowerShell,81
C#,Rust,10
C#,Objective-C,29
C#,Jupyter Notebook,8
C#,Lua,8
C#,DM,3
C#,R,1
C#,Kotlin,5
C#,Vue,3
C#,Julia,0
TypeScript,C,25
TypeScript,Shell,70
TypeScript,Scala,15
TypeScript,Swift,13
TypeScript,PowerShell,15
TypeScript,Rust,15
TypeScript,Objective-C,22
TypeScript,Jupyter Notebook,14
TypeScript,Lua,2
TypeScript,DM,0
TypeScript,R,2
TypeScript,Kotlin,8
TypeScript,Vue,12
TypeScript,Julia,2
C,Shell,250
C,Scala,15
C,Swift,16
C,PowerShell,12
C,Rust,37
C,Objective-C,45
C,Jupyter Notebook,17
C,Lua,29
C,DM,0
C,R,9
C,Kotlin,4
C,Vue,3
C,Julia,6
Shell,Scala,65
Shell,Swift,25
Shell,PowerShell,25
Shell,Rust,34
Shell,Objective-C,26
Shell,Jupyter Notebook,42
Shell,Lua,29
Shell,DM,0
Shell,R,19
Shell,Kotlin,14
Shell,Vue,3
Shell,Julia,6
Scala,Swift,2
Scala,PowerShell,0
Scala,Rust,9
Scala,Objective-C,4
Scala,Jupyter Notebook,13
Scala,Lua,1
Scala,DM,0
Scala,R,1
Scala,Kotlin,7
Scala,Vue,1
Scala,Julia,0
Swift,PowerShell,0
Swift,Rust,7
Swift,Objective-C,139
Swift,Jupyter Notebook,2
Swift,Lua,0
Swift,DM,0
Swift,R,0
Swift,Kotlin,5
Swift,Vue,1
Swift,Julia,0
PowerShell,Rust,3
PowerShell,Objective-C,1
PowerShell,Jupyter Notebook,0
PowerShell,Lua,3
PowerShell,DM,0
PowerShell,R,0
PowerShell,Kotlin,0
PowerShell,Vue,0
PowerShell,Julia,0
Rust,Objective-C,4
Rust,Jupyter Notebook,3
Rust,Lua,2
Rust,DM,0
Rust,R,0
Rust,Kotlin,4
Rust,Vue,1
Rust,Julia,0
Objective-C,Jupyter Notebook,4
Objective-C,Lua,2
Objective-C,DM,0
Objective-C,R,0
Objective-C,Kotlin,1
Objective-C,Vue,2
Objective-C,Julia,0
Jupyter Notebook,Lua,4
Jupyter Notebook,DM,0
Jupyter Notebook,R,11
Jupyter Notebook,Kotlin,0
Jupyter Notebook,Vue,0
Jupyter Notebook,Julia,14
Lua,DM,1
Lua,R,0
Lua,Kotlin,0
Lua,Vue,0
Lua,Julia,0
DM,R,0
DM,Kotlin,0
DM,Vue,0
DM,Julia,0
R,Kotlin,0
R,Vue,0
R,Julia,1
Kotlin,Vue,2
Kotlin,Julia,0
Vue,Julia,0
JavaScript,JavaScript,35089
Python,Python,20157
Java,Java,17291
Ruby,Ruby,9849
HTML,HTML,15653
PHP,PHP,10104
C++,C++,8149
Go,Go,5221
CSS,CSS,8076
C#,C#,6223
TypeScript,TypeScript,4336
C,C,5341
Shell,Shell,5725
Scala,Scala,1635
Swift,Swift,1970
PowerShell,PowerShell,700
Rust,Rust,931
Objective-C,Objective-C,1517
Jupyter Notebook,Jupyter Notebook,1287
Lua,Lua,790
DM,DM,234
R,R,966
Kotlin,Kotlin,616
Vue,Vue,520
Julia,Julia,286
